id,latitude,longitude,depth,mag
usc000ndw9,-20.003,-70.8741,17,6.2
usc000ndnj,-19.9246,-70.6278,20,6.7
usc000nd0c,-5.566,-80.879,9.8,6.3
usc000ncbl,-14.0935,-76.2968,20,6.1
usc000nabv,33.6793,131.8197,79,6.3
usc000n8ez,-3.1128,148.4774,10,6.1
usc000n7bm,-60.8391,-19.9569,10,6.4
nc72182046,40.8287,-125.1338,16.6,6.8
usb000n1ex,-14.7347,169.8222,636.76,6.3
usb000mzmn,27.4052,127.3354,111.18,6.5
usb000mzef,12.5555,-87.6902,60,6.2
usc000myqq,53.6792,-171.8369,264.66,6.1
usc000mskt,14.6511,-58.9478,16.86,6.5
usc000mnvj,35.906,82.5865,10,6.9
usc000mlk4,-5.9651,154.435,41.8,6
usc000mjye,-15.0691,167.3721,122,6.5
usc000mfuh,38.2637,20.3897,5,6
usc000mfm0,-32.9076,-177.8806,44.26,6.5
usc000mf4j,-56.8269,-27.3253,131.14,6.1
usb000m8ch,38.2039,20.4504,8,6.1
usb000m7wd,-7.9855,109.2653,66,6.1
usb000m5ge,-15.1477,-174.6841,6.59,6.1
usb000m4i4,-40.6595,175.8144,28,6.1
usc000m1w9,19.0428,-66.8096,20,6.4
usc000lvb5,-13.8633,167.249,187,6.5
usc000lmmc,20.7727,146.7903,9,6.2
usb000lds9,44.4438,149.1667,28,6
usb000l8pb,2.044,96.8261,20,6
usb000l8mb,-7.0269,128.3791,9.87,6.4
usb000l633,-53.8708,-53.9107,14.83,6
usb000l5zn,-53.9451,-55.0033,11.78,7
usb000l5z1,45.5613,151.0047,34,6
usb000l51g,-17.1171,-176.5449,371,6.5
usb000l25i,18.4753,145.2041,511,6
usb000l219,2.6403,128.4339,38,6
usb000l0gq,-60.2738,-46.4011,10,7.7
usb000kznc,-60.2627,-47.0621,9.97,6.9
usb000kxhr,-60.2814,-47.1233,11.07,6.1
usb000kw1x,54.6859,162.3024,43,6.4
usb000krlz,-19.1711,-172.6411,10.05,6.2
usb000krjt,-23.6357,-112.5956,9.98,6
usb000kqnc,-30.2921,-71.5215,27,6.6
usc000ksdy,23.5904,121.4366,10,6.3
usc000kr9k,-35.314,-73.395,41.5,6.2
usc000kn4n,37.1557,144.6611,35,7.1
usc000kmfw,-58.153,-12.7964,22.87,6.7
usb000kj1z,-23.0067,-177.1425,160,6
usb000khbc,26.0913,-110.3209,9.45,6.6
usb000kemb,-6.4456,154.931,35,6.8
usb000kdb4,9.8796,124.1167,19.04,7.1
usb000kbn7,35.5142,23.2523,40,6.6
usb000kbhi,10.9048,-62.315,63,6
usb000kbbm,-30.6623,-178.4838,151,6.2
usb000k7s0,-36.7267,-97.4761,10.28,6.2
usb000k7q5,12.3115,141.6905,104,6
usb000k6nk,-38.6062,78.3693,12.72,6.4
usb000k3c1,53.1995,152.7864,573,6.7
usb000k2h2,-30.9255,-178.3234,41.54,6.5
usb000k1gb,27.1825,65.5052,12,6.8
usb000jzma,-15.8385,-74.5112,40,7.1
usb000jz8j,-49.9585,-113.7439,10,6.1
usb000jyiv,26.951,65.5009,15,7.7
usb000jx0m,-7.3308,120.0106,549.92,6.1
usc000juwv,51.5751,-174.716,24.02,6.1
usc000jrid,-4.5472,-104.5783,10.52,6.1
usb000jkmw,14.6056,-92.1207,66,6.4
usb000ji6r,15.1836,-45.232,10,6
usb000jguz,51.573,-174.8537,17,6
usb000jgju,51.5573,-174.7671,20,6.5
usb000jgfh,51.1832,-130.2245,9.92,6
usb000jgfc,29.9377,138.8325,402,6.5
usb000jg6b,51.244,-130.3971,2.73,6.1
usb000jelf,-7.44,128.2209,112,6.5
usb000je9f,51.2381,-174.9407,18,6
usb000jdt7,51.537,-175.2297,29,7
usb000jcfu,-27.7829,179.6335,478,6.2
usb000j83t,16.8784,-99.498,21,6.2
usb000j5ki,-34.8853,54.0927,10,6.1
usb000j4iz,-41.734,174.152,8.2,6.5
usb000j275,5.7732,-78.1999,12,6.7
usb000j10u,-5.3962,-81.9268,10,6.2
usb000j0yl,-30.6285,-179.678,340.6,6.1
usb000j0vl,-7.1354,129.8088,95,6
usb000itmf,-15.2443,-173.5006,31.65,6
usc000iq6f,-57.9145,-23.841,13,6.2
usc000ipje,-15.3792,167.6889,124,6.1
usb000ijj6,-46.0417,34.8255,10,6.1
usb000iivv,-41.7134,174.4431,14,6.5
usb000ifva,-15.6346,-71.7729,6.59,6
usb000if30,-6.3085,154.7822,44.25,6
usb000ief9,-60.8679,-25.1436,30.98,7.3
usb000i8ey,-6.0155,149.7215,62.03,6.6
usb000i89z,-3.9234,153.9204,386.25,7.3
usb000i7na,-3.249,100.5668,19.7,6
usb000i6rh,-7.039,155.6438,72,6.1
usb000i4re,4.698,96.687,10,6.1
usc000hzfk,10.701,-42.594,10,6.6
usc000hsdj,34.27,25.114,26,6
usc000hrnr,11.7246,-86.9754,35.81,6.5
usc000hrl4,34.4488,25.0435,10,6.2
usc000hrgh,-33.853,179.402,195,6
usc000hpsd,-9.998,107.243,8.6,6.7
usb000hdx2,-11.401,166.299,39,6.1
usb000hbrt,23.794,121.133,17,6.2
usb000h543,52.222,151.515,623,6.7
usb000h4jh,54.874,153.281,608.9,8.3
usb000h40b,-20.561,-175.765,149.1,6.3
usb000h3k3,-23.025,-177.109,171.4,7.4
usb000h0hw,52.307,159.986,36.7,6.1
usb000h0eg,52.469,160.486,15.1,6
usb000gzlm,-44.866,-80.746,10,6.4
usb000gy67,37.739,141.471,39,6
usc000gw27,18.728,145.287,602.3,6.8
usc000gudx,-17.954,-175.099,212.2,6.4
usc000gtvs,26.56,57.77,15,6.1
usc000gpwn,-19.638,175.064,70.1,6
usb000gg01,-28.7357,-178.9155,349.02,6.2
us2013plai,-28.681,-178.916,351,6.1
usb000gen8,-3.913,152.12,23.3,6.5
usb000gda9,18.127,-101.908,30,6
usb000gczl,29.933,138.887,421.9,6.1
usb000gcls,50.105,157.165,18,6.1
usb000gcdd,30.308,102.888,14,6.6
usb000gc6m,49.958,157.663,20,6.1
usb000gbf8,46.224,150.783,112.2,7.2
usb000g8my,-3.218,142.543,13,6.6
usb000g7x7,28.107,62.053,82,7.7
usb000g6lc,-6.475,154.607,31,6.6
usb000g6it,-19.141,169.535,280.2,6
usb000g2y5,28.5,51.591,10,6.4
usb000g13s,-3.513,138.477,66,7
usb000g0cq,42.713,131.105,561.9,6.3
usb000fxh7,39.516,143.2076,20.89,6
usb000fshy,14.596,-90.439,189,6.2
usb000frwy,-20.757,173.37,10,6.1
usb000fij4,-6.653,148.155,28.9,6.5
usc000feww,50.949,157.448,29,6.5
usc000fewp,50.938,157.511,40.9,6.4
usc000febi,50.942,157.339,41,6.9
usc000fbl2,-27.993,-63.195,585.8,6.1
usc000f8be,5.812,125.748,105,6.1
usc000f76f,67.582,142.564,9.9,6.6
usc000f4zf,-10.959,165.459,11,6
usc000f4n5,-10.952,165.838,15.6,6.6
usc000f4ij,1.142,-77.4,145,6.9
usc000f40j,-10.932,166.021,21,7.1
usc000f3x8,-10.905,165.886,15.9,6.8
usc000f3fx,-11.001,165.658,10,6.7
usc000f2ul,-11.658,164.94,8,6
usc000f2ap,-11.245,165.727,14,6
usc000f29g,-10.643,164.764,10,6
usc000f23y,-10.784,164.512,10.1,6.1
usc000f1ts,-10.479,165.772,9.8,7
usc000f1se,-11.2541,164.9323,10.14,7.1
usc000f1s0,-10.738,165.138,28.7,8
usc000f1r5,-10.865,165.248,12.6,6
usc000f05y,-10.938,165.255,3.2,6
usc000f03a,42.758,143.106,107,6.9
usc000ezw4,-11.12,165.378,10,6.4
usc000ezv6,-10.896,165.379,10,6.3
usc000ezil,-11.104,165.532,15,6
usc000ez0w,-10.628,166.382,9.2,6.1
usc000eyur,-10.635,166.371,11,6.1
usc000eyp3,-28.08,-70.621,45,6.8
usc000ewqq,42.605,79.708,15,6.1
usb000esgn,4.966,95.856,11.6,6.1
pde20130115160937080_10,-62.571,-161.432,10,6.1
pde20130105085819330_10,55.394,-134.65,10,7.5
pde20121221222808570_200,-14.344,167.286,200.7,6.7
pde20121217091630900_44,-0.649,123.807,44.2,6.1
pde20121215193002170_52,-4.632,153.016,52,6.1
pde20121215044929650_26,52.291,174.011,26,6
pde20121214103601590_13,31.095,-119.66,13,6.3
pde20121211061827330_30,0.533,126.231,30,6
pde20121210165308770_155,-6.533,129.825,155,7.1
pde20121207181906160_163,-38.471,176.099,163,6.3
pde20121207083114800_32,37.914,143.764,32,6.2
pde20121207081823130_31,37.89,143.949,31,7.3
pde20121202005422690_32,-16.975,167.645,32,6.1
pde20121119094434120_13,-5.705,151.602,13,6
pde20121116181239910_29,49.28,155.425,29,6.5
pde20121115092021910_53,18.346,-100.382,53,6.1
pde20121114190206120_63,-29.118,-71.19,63,6.1
pde20121113043126760_9,-45.761,-77.053,9,6.1
pde20121112204214620_9,57.792,-142.855,9,6.3
pde20121111221459240_20,14.129,-92.164,20,6.5
pde20121111011238870_13,23.005,95.885,13.7,6.8
pde20121110145750740_129,-8.866,-75.071,129,6
pde20121108020150630_13,49.231,-128.477,13.7,6.1
pde20121107163546690_24,13.963,-91.854,24,7.4
pde20121102181732710_37,9.212,126.158,37,6.1
pde20121030024902270_9,52.365,-131.902,9,6.2
pde20121028185420830_9,52.674,-132.602,9,6.3
pde20121028030408820_14,52.788,-132.101,14,7.8
pde20121024004532990_17,10.086,-85.298,17,6.5
pde20121020230032450_36,-13.552,166.564,36,6.2
pde20121017044230400_326,4.232,124.52,326,6
pde20121012003128270_13,-4.892,134.03,13,6.6
pde20121009123209770_10,-60.326,153.699,10,6.6
pde20121008114331420_10,-4.472,129.129,10,6.1
pde20121001222146020_15,39.808,143.099,15,6.1
pde20120930163135970_170,1.929,-76.362,170,7.3
pde20120926233955110_16,51.592,-178.295,16,6.4
pde20120925234524940_10,24.666,-110.173,10,6.3
pde20120914045147070_19,-3.319,100.594,19,6.2
pde20120908105144200_21,-3.177,135.109,21,6.1
pde20120905144207800_35,10.085,-85.315,35,7.6
pde20120905130910060_27,-12.476,166.513,27,6
pde20120903182305230_14,-10.708,113.931,14,6.1
pde20120831124733380_28,10.811,126.638,28,7.6
pde20120830134325170_14,71.441,-10.605,14,6.8
